algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,3957.556666666667,3570.616666666667,,,25425,25425,c342cdab,2,0.18,penalized,0,25425,25425,300,1.0,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.35,strict,A095_rtr0.35_pm0.20_prs0.40_init1.0_pc0.9,0,tournament,0.25,5
ga,293.93333333333334,169.44,,,25425,25425,c342cdab,2,0.006666666666666667,penalized,5,25425,25425,300,1.0,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.35,strict,A095_rtr0.35_pm0.20_prs0.40_init1.0_pc0.9,0,tournament,0.25,5
ga,457.9,200.43,,,25425,25425,c342cdab,2,0.01,penalized,10,25425,25425,300,1.0,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.35,strict,A095_rtr0.35_pm0.20_prs0.40_init1.0_pc0.9,0,tournament,0.25,5
ga,368.98,169.44,,,25425,25425,c342cdab,2,0.006666666666666667,penalized,15,25425,25425,300,1.0,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.35,strict,A095_rtr0.35_pm0.20_prs0.40_init1.0_pc0.9,0,tournament,0.25,5
ga,408.38666666666666,169.44,,,25425,25425,c342cdab,2,0.006666666666666667,penalized,20,25425,25425,300,1.0,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.35,strict,A095_rtr0.35_pm0.20_prs0.40_init1.0_pc0.9,0,tournament,0.25,5
ga,360.0833333333333,169.44,,,25425,25425,c342cdab,2,0.006666666666666667,penalized,25,25425,25425,300,1.0,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.35,strict,A095_rtr0.35_pm0.20_prs0.40_init1.0_pc0.9,0,tournament,0.25,5
ga,565.9566666666667,252.63666666666666,,,25425,25425,c342cdab,2,0.01,penalized,30,25425,25425,300,1.0,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.35,strict,A095_rtr0.35_pm0.20_prs0.40_init1.0_pc0.9,0,tournament,0.25,5
ga,397.5366666666667,169.44,,,25425,25425,c342cdab,2,0.006666666666666667,penalized,35,25425,25425,300,1.0,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.35,strict,A095_rtr0.35_pm0.20_prs0.40_init1.0_pc0.9,0,tournament,0.25,5
ga,316.5,169.44,,,25425,25425,c342cdab,2,0.006666666666666667,penalized,40,25425,25425,300,1.0,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.35,strict,A095_rtr0.35_pm0.20_prs0.40_init1.0_pc0.9,0,tournament,0.25,5
ga,358.03333333333336,169.44,,,25425,25425,c342cdab,2,0.006666666666666667,penalized,45,25425,25425,300,1.0,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.35,strict,A095_rtr0.35_pm0.20_prs0.40_init1.0_pc0.9,0,tournament,0.25,5
ga,467.38,169.44,,,25425,25425,c342cdab,2,0.006666666666666667,penalized,50,25425,25425,300,1.0,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.35,strict,A095_rtr0.35_pm0.20_prs0.40_init1.0_pc0.9,0,tournament,0.25,5
ga,473.5133333333333,169.44,,,25425,25425,c342cdab,2,0.006666666666666667,penalized,55,25425,25425,300,1.0,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.35,strict,A095_rtr0.35_pm0.20_prs0.40_init1.0_pc0.9,0,tournament,0.25,5
ga,397.4166666666667,169.44,,,25425,25425,c342cdab,2,0.006666666666666667,penalized,60,25425,25425,300,1.0,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.35,strict,A095_rtr0.35_pm0.20_prs0.40_init1.0_pc0.9,0,tournament,0.25,5
